years,ssp370,ssp119,ssp126,ssp245,ssp585
2015,39.1527262983861,39.1527262983861,39.1527262983861,39.1527262983861,39.1527262983861
2020,44.8080382241732,39.6937264516874,39.8040134329135,40.6475298965056,43.712348564522
2030,52.8473593168546,22.8472709173938,34.7344236538734,43.4760625524666,55.2965832256573
2040,58.4979698277256,10.4750888193786,26.509182688349,44.2529000312976,68.7756982044147
2050,62.9040586222294,2.05036155775863,17.9635391054858,43.4621900425296,83.2982199421343
2060,66.5683676152515,-1.52597831742005,10.527978660351,40.1964848294856,100.338606181868
2070,70.0419785674313,-4.47697014942135,4.47632832268894,35.23543373202,116.805249302523
2080,73.4052259212681,-7.30878257887009,-3.28504327111751,26.8383734455749,129.647035019421
2090,77.7990494212681,-10.5650228295996,-8.38518296529048,16.3243915616794,130.576238819421
2100,82.7258331212681,-13.8897875467543,-8.61778621970578,9.68285879405513,126.287309719421
